STABBR,EMP,AP,EST,POP20,REGION_ID,REGIONS,2022REALGDP,STPOP,ZCTAGDP
MA,46352,3564534,1126,37982,22,ISONE,604357.7,7029917,3265.2894993497075
MA,52093,9139616,1173,39525,22,ISONE,604357.7,7029917,3397.9402733346637
MA,8205,982498,503,21447,22,ISONE,604357.7,7029917,1843.7855798155226
MA,14403,1872232,389,15130,22,ISONE,604357.7,7029917,1300.7169218356348
MA,29692,6789268,605,4499,22,ISONE,604357.7,7029917,386.7763008155004
MA,11167,660723,661,26022,22,ISONE,604357.7,7029917,2237.095554527884
MA,4216,361590,423,25497,22,ISONE,604357.7,7029917,2191.9616230035144
MA,5191,328841,436,27520,22,ISONE,604357.7,7029917,2365.877705810751
MA,11563,572025,1012,66274,22,ISONE,604357.7,7029917,5697.5355768496265
MA,12900,727979,855,49075,22,ISONE,604357.7,7029917,4218.9479801112875
MA,12033,576132,752,40721,22,ISONE,604357.7,7029917,3500.759667816846
MA,7212,296823,839,62252,22,ISONE,604357.7,7029917,5351.766676676268
MA,1630,65670,280,19316,22,ISONE,604357.7,7029917,1660.5848025232729
MA,19572,1345412,1169,61483,22,ISONE,604357.7,7029917,5285.656213167239
